CASENUM	VEH_NO	PER_NO	REGION	STRATUM	PJ	PSU	PSUSTRAT	MSAFEQMT	WEIGHT
201414101013	0	1	1	4	14	6	1	8	244.03596
201414101018	0	1	1	3	14	6	1	8	11.62076
201414101046	0	1	1	3	11	6	1	8	8.941356
201414101081	0	1	1	3	4	6	1	8	11.492
201414101100	0	1	1	3	2	6	1	8	13.8125
201414101124	0	1	1	3	26	6	1	8	20.242467
201414101157	0	1	1	3	4	6	1	8	11.492
201414101169	0	1	1	3	7	6	1	9	10.975026
201414101174	0	1	1	3	7	6	1	8	10.975026
201414101178	0	1	1	4	7	6	1	8	241.450572
201414101181	0	1	1	3	26	6	1	8	20.242467
201414101184	0	1	1	3	5	6	1	8	10.908946
201414101201	0	1	1	3	11	6	1	8	8.941356
201414101215	0	1	1	3	14	6	1	8	11.62076
201414101216	0	1	1	3	14	6	1	8	11.62076
201414101244	0	1	1	3	5	6	1	8	10.908946
201414101245	0	1	1	3	26	6	1	8	20.242467
201414101277	0	1	1	3	14	6	1	8	11.62076
201414101282	0	1	1	3	20	6	1	8	14.820011
201414101295	0	1	1	3	7	6	1	8	10.975026
201414101320	0	1	1	3	26	6	1	8	20.242467
201414101392	0	1	1	3	11	6	1	8	8.941356
201414101394	0	1	1	3	11	6	1	3	8.941356
201414101404	0	1	1	3	1	6	1	8	13.8125
201414101427	0	1	1	3	14	6	1	8	11.62076
201414101460	0	1	1	3	26	6	1	8	20.242467
201414101461	0	1	1	3	26	6	1	8	20.242467
201414101464	0	1	1	3	26	6	1	8	20.242467
201414101473	0	1	1	3	4	6	1	8	11.492
201414101481	0	1	1	3	11	6	1	8	8.941356
201414101502	0	1	1	3	14	6	1	8	11.62076
201414101503	0	1	1	3	14	6	1	8	11.62076
201414101504	0	1	1	3	14	6	1	8	11.62076
201414101526	0	1	1	3	5	6	1	8	10.908946
201414101543	0	1	1	3	26	6	1	8	20.242467
201414101546	0	1	1	3	14	6	1	8	11.62076
201414101576	0	1	1	3	5	6	1	8	10.908946
201414101582	0	1	1	4	5	6	1	8	239.996812
201414101589	0	1	1	3	26	6	1	8	20.242467
201414101626	0	1	1	3	7	6	1	8	10.975026
201414101659	0	1	1	3	14	6	1	8	11.62076
201414101669	0	1	1	3	5	6	1	9	10.908946
201414101700	0	1	1	3	14	6	1	8	11.62076
201414101707	0	1	1	3	11	6	1	8	8.941356
201414101708	0	1	1	3	11	6	1	8	8.941356
